Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%)
09:00:21,272210,한화시스템,163800,99942,163,8.6207
09:00:21,032820,우리기술,17170,528701,90,3.5585
09:00:21,449450,PLUS K방산,79045,59916,47,3.462
09:00:21,0080G0,KODEX 방산TOP10,15125,232565,35,3.7736
09:00:21,117580,대성에너지,14430,240946,34,13.622
09:00:21,322000,HD현대에너지솔루션,95700,31766,30,6.2153
09:00:21,463250,TIGER K방산&우주,51555,58295,30,4.5953
09:00:21,065450,빅텍,6000,244310,14,7.1429
09:00:21,357780,솔브레인,494500,2282,11,3.9958
09:30:13,079550,LIG넥스원,870000,381335,3317,14.0236
09:30:13,032820,우리기술,18360,15385004,2824,10.7358
09:30:13,042700,한미반도체,326500,603984,1972,3.6508
09:30:13,012450,한화에어로스페이스,1448000,135141,1956,4.8516
09:30:13,322000,HD현대에너지솔루션,109600,1515150,1660,21.6426
09:30:13,463250,TIGER K방산&우주,51695,2514003,1299,4.8793
09:30:13,449450,PLUS K방산,80085,1401232,1122,4.8233
09:30:13,009830,한화솔루션,48450,2165291,1049,9.1216
09:30:13,187660,현대ADM,15800,6183984,977,14.9091
09:30:13,0080G0,KODEX 방산TOP10,15250,5707294,870,4.6312
09:30:13,078600,대주전자재료,111600,476964,532,15.7676
09:30:13,298380,에이비엘바이오,189500,260215,493,7.0017
09:30:13,024740,한일단조,3635,9401747,341,26.8761
09:30:13,240810,원익IPS,137900,204382,281,3.8404
09:30:13,233160,TIGER 코스닥150 레버,20010,1404084,280,8.1622
10:00:25,079550,LIG넥스원,877000,646783,5672,14.941
10:00:25,032820,우리기술,17770,27786707,4937,7.1773
10:00:25,012450,한화에어로스페이스,1461000,222094,3244,5.7929
10:00:25,322000,HD현대에너지솔루션,110500,2435715,2691,22.6415
10:00:25,463250,TIGER K방산&우주,51885,3682695,1910,5.2648
10:00:25,449450,PLUS K방산,80300,2139803,1718,5.1047
10:00:25,009830,한화솔루션,48500,3386768,1642,9.2342
10:00:25,187660,현대ADM,15660,8463727,1325,13.8909
10:00:25,0080G0,KODEX 방산TOP10,15275,8881839,1356,4.8027
10:00:25,010820,퍼스텍,8980,11735739,1053,16.3212
10:00:25,078600,대주전자재료,111800,660484,738,15.9751
10:00:25,298380,에이비엘바이오,184600,366664,676,4.2349
10:00:25,489790,한화비전,81500,676045,550,4.0868
10:00:25,233160,TIGER 코스닥150 레버,19305,2163419,417,4.3514
10:30:05,252670,KODEX 200선물인버스2,299,3835166516,11467,7.1685
10:30:05,079550,LIG넥스원,848000,800258,6786,11.1402
10:30:05,114800,KODEX 인버스,1745,265600822,4634,3.1934
10:30:05,012450,한화에어로스페이스,1426000,289331,4125,3.2585
10:30:05,322000,HD현대에너지솔루션,107100,2916174,3123,18.8679
10:30:05,009830,한화솔루션,47900,4171568,1998,7.8829
10:30:05,010820,퍼스텍,9240,21213664,1960,19.6891
10:30:05,065450,빅텍,6350,17710863,1124,13.3929
10:30:05,078600,대주전자재료,108400,793936,860,12.4481
10:30:05,005860,한일사료,4690,13671819,641,13.012
10:30:05,000440,중앙에너비스,36900,1576610,581,19.611
11:00:08,272210,한화시스템,164600,5564698,9159,9.1512
11:00:08,079550,LIG넥스원,871000,881699,7679,14.1547
11:00:08,012450,한화에어로스페이스,1445000,325751,4707,4.6343
11:00:08,322000,HD현대에너지솔루션,112100,3373056,3781,24.4173
11:00:08,463250,TIGER K방산&우주,51790,5150096,2667,5.072
11:00:08,449450,PLUS K방산,80065,3048537,2440,4.7971
11:00:08,009830,한화솔루션,48350,4685455,2265,8.8964
11:00:08,010820,퍼스텍,9340,25023968,2337,20.9845
11:00:08,0080G0,KODEX 방산TOP10,15235,12024601,1831,4.5283
11:00:08,065450,빅텍,6390,20480374,1308,14.1071
11:00:08,078600,대주전자재료,113400,914285,1036,17.6349
11:00:08,298380,에이비엘바이오,183400,521499,956,3.5573
11:00:08,005860,한일사료,4465,20436100,912,7.5904
11:00:08,489790,한화비전,82200,991309,814,4.9808
11:30:06,272210,한화시스템,164300,6006147,9868,8.9523
11:30:06,079550,LIG넥스원,871000,932518,8122,14.1547
11:30:06,012450,한화에어로스페이스,1445000,352735,5097,4.6343
11:30:06,322000,HD현대에너지솔루션,114750,3898955,4474,27.3585
11:30:06,463250,TIGER K방산&우주,51875,5449809,2827,5.2445
11:30:06,449450,PLUS K방산,80215,3202466,2568,4.9935
11:30:06,009830,한화솔루션,48750,5139671,2505,9.7973
11:30:06,010820,퍼스텍,9050,26955754,2439,17.228
11:30:06,0080G0,KODEX 방산TOP10,15260,12687410,1936,4.6998
11:30:06,065450,빅텍,6270,22133944,1387,11.9643
11:30:06,078600,대주전자재료,117700,1072569,1262,22.0954
11:30:06,298380,에이비엘바이오,186300,557130,1037,5.1948
11:30:06,489790,한화비전,83100,1059182,880,6.1303
11:30:06,240810,원익IPS,138300,593045,820,4.1416
12:00:09,079550,LIG넥스원,862000,970455,8365,12.9751
12:00:09,012450,한화에어로스페이스,1449000,376895,5461,4.924
12:00:09,089030,테크윙,68400,7353334,5029,3.1674
12:00:09,463250,TIGER K방산&우주,51670,5600501,2893,4.8286
12:00:09,009830,한화솔루션,48500,5479743,2657,9.2342
12:00:09,449450,PLUS K방산,79880,3311746,2645,4.555
12:00:09,010820,퍼스텍,9030,27975541,2526,16.9689
12:00:09,187660,현대ADM,15280,15305235,2338,11.1273
12:00:09,0080G0,KODEX 방산TOP10,15190,13037811,1980,4.2196
12:00:09,065450,빅텍,6210,22905327,1422,10.8929
12:00:09,078600,대주전자재료,118800,1223462,1453,23.2365
12:00:09,298380,에이비엘바이오,187000,581164,1086,5.5901
12:00:09,489790,한화비전,82900,1117226,926,5.8748
12:00:09,240810,원익IPS,138200,629422,869,4.0663
12:00:09,047050,포스코인터내셔널,72000,1048859,755,9.0909
12:30:06,079550,LIG넥스원,861000,1029138,8860,12.844
12:30:06,012450,한화에어로스페이스,1454000,401219,5833,5.286
12:30:06,009830,한화솔루션,50900,8392290,4271,14.6396
12:30:06,463250,TIGER K방산&우주,51700,5795737,2996,4.8894
12:30:06,449450,PLUS K방산,79950,3461560,2767,4.6466
12:30:06,010820,퍼스텍,9110,28801297,2623,18.0052
12:30:06,0080G0,KODEX 방산TOP10,15230,13387178,2038,4.494
12:30:06,065450,빅텍,6300,23786103,1498,12.5
12:30:06,078600,대주전자재료,117300,1293870,1517,21.6805
12:30:06,298380,에이비엘바이오,187500,611377,1146,5.8724
12:30:06,489790,한화비전,83000,1161694,964,6.0026
12:30:06,047050,포스코인터내셔널,71700,1115262,799,8.6364
13:00:05,079550,LIG넥스원,859000,1068041,9174,12.5819
13:00:05,012450,한화에어로스페이스,1498000,469499,7033,8.4721
13:00:05,089030,테크윙,70100,8938340,6265,5.7315
13:00:05,009830,한화솔루션,53100,11343319,6023,19.5946
13:00:05,463250,TIGER K방산&우주,52195,6001014,3132,5.8937
13:00:05,449450,PLUS K방산,80750,3609519,2914,5.6937
13:00:05,010820,퍼스텍,8950,29530864,2643,15.9326
13:00:05,0080G0,KODEX 방산TOP10,15380,13789453,2120,5.5232
13:00:05,065450,빅텍,6120,24648884,1508,9.2857
13:00:05,078600,대주전자재료,117200,1335794,1565,21.5768
13:00:05,298380,에이비엘바이오,188200,636278,1197,6.2676
13:00:05,489790,한화비전,83900,1211531,1016,7.152
13:00:05,047050,포스코인터내셔널,71900,1167055,839,8.9394
13:30:03,012450,한화에어로스페이스,1485000,571812,8491,7.5308
13:30:03,089030,테크윙,68800,10227974,7036,3.7707
13:30:03,009830,한화솔루션,54500,13329299,7264,22.7477
13:30:03,463250,TIGER K방산&우주,51230,6330052,3242,3.9359
13:30:03,449450,PLUS K방산,79510,3769025,2996,4.0707
13:30:03,010820,퍼스텍,8670,31286184,2712,12.3057
13:30:03,0080G0,KODEX 방산TOP10,15125,14516937,2195,3.7736
13:30:03,065450,빅텍,6030,25888379,1561,7.6786
13:30:03,078600,대주전자재료,118100,1403972,1658,22.5104
13:30:03,298380,에이비엘바이오,187600,672887,1262,5.9289
13:30:03,489790,한화비전,84600,1407248,1190,8.046
14:00:06,012450,한화에어로스페이스,1509000,664879,10033,9.2686
14:00:06,009830,한화솔루션,52300,14889849,7787,17.7928
14:00:06,089030,테크윙,69500,10554843,7335,4.8265
14:00:06,463250,TIGER K방산&우주,51495,6759473,3480,4.4735
14:00:06,449450,PLUS K방산,80090,4075564,3264,4.8298
14:00:06,010820,퍼스텍,8780,32270229,2833,13.7306
14:00:06,0080G0,KODEX 방산TOP10,15245,15946039,2430,4.5969
14:00:06,078600,대주전자재료,120600,1526826,1841,25.1037
14:00:06,065450,빅텍,6020,26660790,1604,7.5
14:00:06,058470,리노공업,125500,1173158,1472,3.3773
14:00:06,489790,한화비전,85300,1708583,1457,8.94
14:00:06,298380,에이비엘바이오,190300,727721,1384,7.4534
14:30:05,012450,한화에어로스페이스,1472000,734203,10807,6.5894
14:30:05,009830,한화솔루션,52000,16807196,8739,17.1171
14:30:05,089030,테크윙,71700,12170284,8726,8.1448
14:30:05,042700,한미반도체,330500,1942069,6418,4.9206
14:30:05,449450,PLUS K방산,79245,4422377,3504,3.7238
14:30:05,010820,퍼스텍,8670,33236352,2881,12.3057
14:30:05,0080G0,KODEX 방산TOP10,15105,17695187,2672,3.6364
14:30:05,078600,대주전자재료,119200,1676887,1998,23.6515
14:30:05,489790,한화비전,86800,1943707,1687,10.8557
14:30:05,058470,리노공업,126000,1259991,1587,3.7891
14:30:05,298380,에이비엘바이오,189600,776979,1473,7.0582
14:30:05,047050,포스코인터내셔널,72600,1486763,1079,10.0
15:00:04,012450,한화에어로스페이스,1473000,766047,11283,6.6618
15:00:04,009830,한화솔루션,52400,17436334,9136,18.018
15:00:04,089030,테크윙,71000,12689683,9009,7.089
15:00:04,042700,한미반도체,331000,2066695,6840,5.0794
15:00:04,449450,PLUS K방산,79440,4635380,3682,3.9791
15:00:04,010820,퍼스텍,8920,33960919,3029,15.544
15:00:04,0080G0,KODEX 방산TOP10,15130,18229537,2758,3.8079
15:00:04,078600,대주전자재료,119300,1857554,2216,23.7552
15:00:04,489790,한화비전,86200,2088375,1800,10.0894
15:00:04,058470,리노공업,125800,1371573,1725,3.6244
