Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M),Market_Cap(100M)
09:00:05,069500,KODEX 200,84765,201658,170,4.63,0,178282
09:00:05,047040,대우건설,18280,488437,89,7.21,9,76017
09:00:05,148020,RISE 200,85540,78632,67,4.24,0,31333
09:00:05,102110,TIGER 200,84870,57701,48,4.69,0,74898
09:00:05,105560,KB금융,149900,27489,41,3.17,-2,558903
09:00:05,494310,KODEX 반도체레버리지,70520,53984,38,8.67,0,12172
09:00:05,322000,HD현대에너지솔루션,139600,17092,23,3.62,4,15702
09:00:05,271050,KODEX WTI원유선물인,2485,868002,21,8.3,0,1494
09:00:05,006400,삼성SDI,392500,4864,19,4.38,0,316701
09:00:05,178320,서진시스템,45800,38489,17,3.5,-4,26898
09:00:05,469150,ACE AI반도체TOP3+,48115,34461,16,4.97,0,5100
09:00:05,011930,신성이엔지,2930,643392,18,5.0,-3,6052
09:00:05,034220,LG디스플레이,11790,113321,13,5.09,5,58800
09:00:05,139260,TIGER 200 IT,84990,13851,11,5.09,0,9390
09:00:05,001440,대한전선,29600,37962,11,5.32,3,55375
09:00:05,298380,에이비엘바이오,178900,6160,11,5.51,0,99714
09:00:05,000150,두산,1138000,781,8,6.75,-2,184286
09:00:05,491000,리브스메드,77300,10399,8,7.16,-2,19414
09:00:05,098460,고영,28150,28167,7,4.43,0,19429
09:00:05,003530,한화투자증권,7450,93556,6,5.68,1,15962
09:00:05,097230,HJ중공업,27750,23879,6,4.92,2,25012
09:00:05,298040,효성중공업,2707000,244,6,4.21,1,251576
09:00:05,192410,오늘이엔엠,4635,140324,6,20.13,-2,1100
09:00:05,0082N0,카나프테라퓨틱스,45750,13022,5,7.41,5,6012
09:00:05,388050,지투파워,12650,48308,6,5.04,3,2378
09:00:05,108490,로보티즈,250000,1551,3,4.41,-2,36412
09:00:05,347850,디앤디파마텍,74100,5213,3,4.69,0,32240
09:00:05,091230,TIGER 반도체,107405,3062,3,4.21,0,8745
09:00:05,003670,포스코퓨처엠,193700,1633,3,3.54,1,171666
09:00:05,267270,HD건설기계,133500,2235,2,5.18,0,65245
09:00:05,377300,카카오페이,61600,4523,2,3.19,1,83028
09:00:05,138080,오이솔루션,33450,8116,2,6.8,0,4126
09:00:05,455850,SOL AI반도체소부장,27102,9708,2,3.75,0,10894
09:00:05,125020,티씨머티리얼즈,5100,48340,2,3.46,1,1783
09:00:05,950250,테라뷰,8260,29829,2,4.19,0,2912
09:00:05,444200,SOL 코리아메가테크액,43170,5134,2,4.1,0,7231
09:00:05,434730,HANARO 원자력iSelect,70560,2999,2,4.98,0,8538
09:00:05,242040,나무기술,7170,23624,1,9.19,0,2509
09:00:05,454910,두산로보틱스,87200,1816,1,3.85,-1,56004
﻿09:00:07,047040,대우건설,18330,528799,96,7.56,9,76267
09:00:07,148020,RISE 200,85375,78662,67,4.24,0,31333
09:00:07,494310,KODEX 반도체레버리지,71545,70412,50,8.67,0,12172
09:00:07,105560,KB금융,149900,27814,41,3.23,-2,559276
09:00:07,322000,HD현대에너지솔루션,142300,20482,29,3.77,4,15725
09:00:07,009540,HD한국조선해양,381500,8508,32,4.37,0,270353
09:00:07,271050,KODEX WTI원유선물인,2480,869002,21,8.3,0,1494
09:00:07,011930,신성이엔지,2940,703908,20,4.82,-3,6042
09:00:07,006400,삼성SDI,392500,5088,19,4.25,4,316298
09:00:07,469150,ACE AI반도체TOP3+,48130,34612,16,4.83,0,5093
09:00:07,006910,보성파워텍,12210,119402,14,6.97,5,5955
09:00:07,034220,LG디스플레이,11780,113504,13,5.45,5,59000
09:00:07,105840,우진,28600,44407,12,4.2,-6,5766
09:00:07,050890,쏠리드,12960,94760,12,4.53,1,7856
09:00:07,139260,TIGER 200 IT,85050,13863,11,4.7,0,9355
09:00:07,298380,에이비엘바이오,178900,6181,11,5.51,0,99714
09:00:07,292150,TIGER 코리아TOP10,30485,34989,10,4.45,0,23180
09:00:07,000150,두산,1138000,781,8,7.04,-1,184772
09:00:07,098460,고영,28250,30512,8,4.24,0,19395
09:00:07,491000,리브스메드,77300,10541,8,6.47,-2,19289
09:00:07,003530,한화투자증권,7460,109247,8,5.82,1,15984
