Time,Code,Name,Strategy,Reason,Buy_Price,Sell_Price,Qty,Profit_Rate(%),Hold_Min(분),Max_Price_During_Hold,Min_Price_During_Hold,Entry_PG_Amt,Max_PG_Amt_During_Hold,Exit_PG_Amt
2026-02-24 13:25:54,003670,포스코퓨처엠,PROGRAM,📉손절선 이탈(-2.11%),237500.0,232500.0,6,-2.11,163,239000,232500,20423337500,33721782000,31863660000
2026-02-25 09:06:28,047040,대우건설,MORNING,"🎢트레일링 스탑
기준: 8,700원
최고: 4.5% / 현재: 2.8%
⚠️호가불안 (Gap: 1%)",8700.0,8950.0,87,2.87,3,9090,8620,748156500,1403077860,-2860178350
2026-02-25 09:06:46,000720,현대건설,PROGRAM,📉손절선 이탈(-2.25%),146900.0,143500.0,10,-2.31,1,147100,143600,5284580600,5284580600,5192117000
2026-02-25 09:07:44,417200,LS머트리얼즈,MORNING,📉손절선 이탈(-2.03%),19210.0,18810.0,79,-2.08,1,19330,18820,4834427020,4852043360,4583564370
2026-02-25 09:07:55,012860,모베이스전자,MORNING,"🎢트레일링 스탑
기준: 4,335원
최고: 8.8% / 현재: 6.1%
이격정상 (Gap: 2%)",4335.0,4620.0,176,6.57,2,4715,4335,1742570295,2250978720,2039559060
2026-02-25 09:10:41,112610,씨에스윈드,MORNING,📉손절선 이탈(-1.10%),54500.0,53900.0,28,-1.1,0,54600,53900,932113500,932968650,390775000
2026-02-25 09:13:04,452260,한화갤러리아,RECOVERED,"🎢트레일링 스탑
기준: 3,505원
최고: 7.4% / 현재: 6.3%
⚠️호가불안 (Gap: 1%)",3505.0,3735.0,218,6.56,2,3765,3505,2215925355,2424304025,299673990
2026-02-25 09:17:26,307950,현대오토에버,MORNING,"🎢트레일링 스탑
기준: 456,000원
최고: 4.3% / 현재: 2.6%
⚠️호가불안 (Gap: 1%)",456000.0,468000.0,2,2.63,10,475500,455500,3619272000,8939875500,6404112000
2026-02-25 11:02:39,005380,현대차,PROGRAM,"🎢트레일링 스탑
기준: 546,000원
최고: 6.0% / 현재: 4.0%
⚠️호가불안 (Gap: 1%)",546000.0,569000.0,1,4.21,120,579000,538000,23070138000,220840503000,220125616000
2026-02-25 13:16:58,006800,미래에셋증권,PROGRAM,📉본전 이탈(익절 후 반납),73700.0,73700.0,10,0.0,28,75700,73200,24381949900,43611901200,35863599200
2026-02-25 14:36:20,450080,에코프로머티,PROGRAM,📉손절선 이탈(-2.03%),71500.0,70050.0,21,-2.03,61,71500,70050,20922044000,22571610400,22198424700
2026-02-25 14:37:09,003490,대한항공,PROGRAM,📉손절선 이탈(-2.05%),29300.0,28700.0,52,-2.05,210,29500,28700,20593680800,52519758300,51520632800
2026-02-25 14:41:56,402340,SK스퀘어,PROGRAM,📉손절선 이탈(-2.14%),653000.0,639000.0,2,-2.14,114,660000,639000,20607374000,25819665000,25643709000
2026-02-26 09:12:09,011070,LG이노텍,PROGRAM,"🎢트레일링 스탑
기준: 311,500원
최고: 7.4% / 현재: 5.1%
이격정상 (Gap: 2%)",311500.0,326250.0,2,4.74,9,334500,311000,6879789000,15028330000,13961868750
2026-02-26 09:18:22,012330,현대모비스,PROGRAM,📉손절선 이탈(-2.09%),503000.0,492500.0,3,-2.09,13,503000,492500,7957963000,12373767000,11728887500
2026-02-26 09:35:19,042700,한미반도체,PROGRAM,📉수급이탈(277억 < Max 396억),242000.0,244500.0,3,1.03,10,248500,239500,25842938000,39608167500,27668353500
2026-02-26 12:48:29,080220,제주반도체,PROGRAM,"🎢트레일링 스탑
기준: 47,000원
최고: 6.4% / 현재: 5.1%
⚠️호가불안 (Gap: 1%)",47000.0,49400.0,16,5.11,109,50000,46200,23724190000,66723409800,62919643800
2026-02-26 13:16:28,064400,LG씨엔에스,PROGRAM,📉손절선 이탈(-2.13%),75100.0,73500.0,20,-2.13,129,75200,73500,20164425100,23980800800,23927778000
2026-02-26 13:31:25,403870,HPSP,PROGRAM,"🎢트레일링 스탑
기준: 43,750원
최고: 4.5% / 현재: 2.1%
이격정상 (Gap: 2%)",43750.0,44750.0,18,2.29,38,45700,43600,22686300000,30705007400,24801479250
2026-02-26 15:15:19,035720,카카오,PROGRAM,장 마감(Time-Cut),59700.0,61400.0,13,2.85,374,62300,59000,8519607900,182047687500,181751675000
2026-02-26 15:15:21,035420,NAVER,PROGRAM,장 마감(Time-Cut),262500.0,260000.0,5,-0.95,348,266500,259500,20672662500,55104849000,52592020000
2026-02-27 09:05:29,090710,휴림로봇,PROGRAM,📉손절선 이탈(-2.03%),15730.0,15370.0,98,-2.29,0,15730,15410,7271601480,7271601480,5951264000
2026-02-27 09:05:47,000720,현대건설,MORNING,📉본전 이탈(익절 후 반납),171400.0,171400.0,5,0.0,4,176500,169700,3347956200,14502122500,12433870200
2026-02-27 09:29:34,034020,두산에너빌리티,PROGRAM,📉손절선 이탈(-2.01%),109300.0,107200.0,14,-1.92,26,110200,107100,21431981200,77520830000,76934652800
2026-02-27 09:36:47,122870,와이지엔터테인먼트,MORNING,📉손절선 이탈(-1.06%),75400.0,74600.0,20,-1.06,1,75500,74600,1020765200,1472384200,1466486800
2026-02-27 09:37:13,038500,삼표시멘트,MORNING,📉본전 이탈(익절 후 반납),17070.0,17120.0,45,0.29,1,17450,17030,3598236510,3653042690,955398720
2026-02-27 09:48:23,027360,아주IB투자,MORNING,🚀상한가 도달(VI) 전량익절,5140.0,5810.0,150,13.04,8,5810,5100,2703475520,4320083600,4320083600
2026-02-27 10:00:44,025980,아난티,MORNING,📉손절선 이탈(-1.08%),8795.0,8710.0,177,-0.97,1,8810,8700,4261300630,4268568340,4089649850
2026-02-27 10:01:59,047810,한국항공우주,MORNING,📉손절선 이탈(-1.00%),194400.0,192400.0,8,-1.03,10,196500,192450,4005028800,5067644400,-409619600
2026-02-27 11:59:52,064350,현대로템,PROGRAM,"🎢트레일링 스탑
기준: 229,000원
최고: 5.7% / 현재: 3.5%
이격정상 (Gap: 2%)",229000.0,237000.0,3,3.49,62,242000,228500,27942809000,86863833000,86154003000
2026-02-27 13:05:36,005380,현대차,THEME,🚨대장주(현대제철) 상풀림/이탈,655000.0,656000.0,2,0.15,0,656000,654000,0,0,-75762752000
2026-02-27 14:52:20,329180,HD현대중공업,PROGRAM,📉손절선 이탈(-2.12%),614000.0,601000.0,2,-2.12,199,620000,601000,23920826000,36252552000,34360372000
2026-02-27 15:05:33,009830,한화솔루션,THEME,📉손절선 이탈(-2.03%),54200.0,53100.0,28,-2.03,11,54900,53100,0,0,-13981442400
2026-03-03 09:05:33,322000,HD현대에너지솔루션,VALUE_KING,📉본전 이탈(익절 후 반납),109300.0,108700.0,7,-0.55,1,111700,108800,-985120900,-985120900,-4820410200
2026-03-03 09:06:08,038500,삼표시멘트,PROGRAM,📉수급이탈(47억 < Max 69억),18080.0,18440.0,43,1.99,3,18580,18080,5850868800,6887420200,4653334000
2026-03-03 09:10:21,079550,LIG넥스원,PROGRAM,📉수급이탈(56억 < Max 83억),620000.0,647000.0,1,4.35,7,646000,620000,5432440000,8259944000,5627606000
2026-03-03 09:10:33,449450,PLUS K방산,VALUE_KING,📉본전 이탈(익절 후 반납),77420.0,74500.0,10,-3.77,7,79325,74500,0,0,0
2026-03-03 09:10:52,053050,지에스이,THEME,🚀상한가 도달(VI) 전량익절,3085.0,3090.0,508,0.16,0,3090,3085,0,0,-328457730
2026-03-03 09:14:59,012450,한화에어로스페이스,VALUE_KING,💰소액/잔량(1주) 2% 목표달성 전량익절,1344000.0,1372000.0,1,2.08,8,1372000,1342000,7973952000,11448070000,4607176000
2026-03-03 09:16:53,272210,한화시스템,PROGRAM,"🎢트레일링 스탑
기준: 131,900원
최고: 8.5% / 현재: 6.4%
이격정상 (Gap: 2%)",131900.0,140200.0,6,6.29,12,143100,131800,10008308200,23804952300,19248338400
2026-03-03 09:19:24,263750,펄어비스,MORNING,📉손절선 이탈(-1.00%),59800.0,59200.0,26,-1.0,1,59900,59200,1659868600,1717872100,1131608000
2026-03-03 09:31:23,047810,한국항공우주,VALUE_KING,"🎢트레일링 스탑
기준: 202,000원
최고: 4.2% / 현재: 1.7%
이격정상 (Gap: 2%)",202000.0,205500.0,4,1.73,23,210500,200000,-20700354000,-20700354000,-46045152000
2026-03-03 09:31:33,103140,풍산,VALUE_KING,📉본전 이탈(익절 후 반납),133700.0,132900.0,6,-0.6,12,138600,132900,-4208341200,-3136674500,-12695804100
2026-03-03 09:31:46,005880,대한해운,VALUE_KING,"🎢트레일링 스탑
기준: 2,622원
최고: 5.1% / 현재: 2.8%
이격정상 (Gap: 2%)",2622.0,2690.0,299,2.59,20,2755,2615,-4577581992,-4555585350,-5366235270
2026-03-03 09:42:41,042660,한화오션,VALUE_KING,"🎢트레일링 스탑
기준: 146,800원
최고: 5.3% / 현재: 4.2%
⚠️호가불안 (Gap: 1%)",146800.0,152900.0,5,4.16,37,154600,146100,8332955200,72456072800,66459208200
2026-03-03 09:44:11,0015G0,그린광학,MORNING,📉본전 이탈(익절 후 반납),48000.0,48100.0,17,0.21,6,49500,47600,5495472000,6396215000,5134338300
2026-03-03 09:47:11,064350,현대로템,VALUE_KING,"🎢트레일링 스탑
기준: 259,500원
최고: 5.6% / 현재: 3.5%
이격정상 (Gap: 2%)",259500.0,268500.0,3,3.47,30,274000,257500,-27053913000,-27053913000,-67300062000
2026-03-03 10:01:55,466920,SOL 조선TOP3플러스,VALUE_KING,📉손절선 이탈(-2.05%),40230.0,39417.0,39,-2.02,23,40310,39405,0,0,0
2026-03-03 10:20:39,226950,올릭스,MORNING,"🎢트레일링 스탑
기준: 197,500원
최고: 5.3% / 현재: 2.8%
이격정상 (Gap: 2%)",197500.0,203000.0,4,2.78,28,208000,196700,9771312500,14933360000,14429849000
2026-03-03 12:11:03,028670,팬오션,VALUE_KING,"🎢트레일링 스탑
기준: 6,190원
최고: 6.5% / 현재: 2.3%
⚠️호가불안 (Gap: 1%)",6190.0,6330.0,129,2.26,13,6590,6180,-17719104030,-17363491860,-19818691950
2026-03-03 12:11:52,010950,S-Oil,VALUE_KING,📉손절선 이탈(-2.17%),138100.0,135400.0,11,-1.96,2,139000,135100,-31042946600,-30822675200,-32021558400
2026-03-03 15:15:06,411060,ACE KRX금현물,VALUE_KING,장 마감(Time-Cut),35410.0,34855.0,45,-1.57,74,35440,34820,0,0,0
