Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%)
09:00:21,122630,KODEX 레버리지,86185,321476,277,5.0076
09:00:21,233740,KODEX 코스닥150레버,18045,721534,130,3.2323
09:00:21,043260,성호전자,53300,131581,70,7.8947
09:00:21,279570,케이뱅크,7770,554639,43,3.4621
09:00:21,001510,SK증권,1934,2198804,42,8.0447
09:00:21,011070,LG이노텍,266500,15703,41,3.2946
09:00:21,307520,TIGER 지주회사,20660,87368,18,5.1935
09:00:21,000390,삼화페인트,10540,154897,16,5.5055
09:00:21,000880,한화,131700,11520,15,4.5238
09:00:21,001440,대한전선,30600,48127,14,3.204
09:00:21,064400,LG씨엔에스,65600,21515,14,3.3071
09:00:21,006260,LS,258500,4866,12,6.3786
09:00:21,376900,로킷헬스케어,82400,15221,12,6.5977
09:00:21,348340,뉴로메카,75400,12544,9,5.3073
09:00:21,462330,KODEX 2차전지산업레,1752,521081,9,3.3628
09:30:05,032820,우리기술,22450,16377654,3676,8.7167
09:30:05,010170,대한광통신,6740,29329505,1976,22.323
09:30:05,043260,성호전자,56900,2161116,1229,15.1822
09:30:05,001510,SK증권,1932,53624555,1036,7.933
09:30:05,050890,쏠리드,10530,9440041,994,16.8701
09:30:05,000390,삼화페인트,11630,5715244,664,16.4164
09:30:05,466920,SOL 조선TOP3플러스,37970,1414980,537,5.9579
09:30:05,440110,파두,67900,672588,456,6.5934
09:30:05,047040,대우건설,9970,4573603,455,5.2798
09:30:05,102970,KODEX 증권,27430,1592549,436,6.6278
09:30:05,087010,펩트론,318000,127983,406,10.0346
09:30:05,006910,보성파워텍,11020,3279779,361,7.1984
09:30:05,027360,아주IB투자,5720,6116173,349,11.284
09:30:05,494670,TIGER 조선TOP10,30400,1128986,343,6.3681
09:30:05,376900,로킷헬스케어,89600,386477,346,15.912
09:30:05,327260,RF머트리얼즈,65000,488591,317,6.9079
09:30:05,222080,씨아이에스,15100,2028071,306,3.7088
09:30:05,115180,큐리언트,59400,494396,293,16.6994
09:30:05,278470,에이피알,323000,88986,287,7.131
09:30:05,038500,삼표시멘트,15080,1905016,287,8.0229
09:30:05,066570,LG전자,120500,219602,264,3.9689
09:30:05,088350,한화생명,5060,4767300,241,7.8891
10:00:05,122630,KODEX 레버리지,86225,5786111,4989,5.0564
10:00:05,010170,대한광통신,7050,42653925,3007,27.9492
10:00:05,043260,성호전자,58000,3058231,1773,17.4089
10:00:05,050890,쏠리드,11030,16191781,1785,22.4195
10:00:05,001510,SK증권,1928,65458846,1262,7.7095
10:00:05,000390,삼화페인트,10950,8761700,959,9.6096
10:00:05,466920,SOL 조선TOP3플러스,37965,2098383,796,5.9439
10:00:05,376900,로킷헬스케어,93900,770029,723,21.4748
10:00:05,006910,보성파워텍,10980,6305792,692,6.8093
10:00:05,015750,성우하이텍,11770,5814696,684,25.3461
10:00:05,047040,대우건설,9980,6564192,655,5.3854
10:00:05,038500,삼표시멘트,15910,4196588,667,13.9685
10:00:05,027360,아주IB투자,5910,10885439,643,14.9805
