Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M),Market_Cap(100M)
09:00:10,122630,KODEX 레버리지,89895,262057,235,5.2019,0,61845
09:00:10,367760,RISE 네트워크인프라,34780,53447,18,3.113,0,2036
09:00:10,000390,삼화페인트,11370,117072,13,3.3636,0,3098
09:00:10,0011A0,액스비스,34250,36501,12,4.9005,-2,3159
09:00:10,067310,하나마이크론,32200,31425,10,3.04,0,21390
09:00:10,006340,대원전선,5940,150304,8,4.7619,3,4650
09:00:10,234340,헥토파이낸셜,39500,20241,7,3.9474,0,5532
09:00:10,130660,한전산업,21250,26018,5,3.6585,3,6895
09:00:10,078600,대주전자재료,119800,3856,4,5.737,-1,18515
09:00:10,032500,케이엠더블유,30350,10687,3,5.5652,-1,12553
09:00:10,282880,코윈테크,15860,18838,2,6.9454,0,1808
﻿09:00:12,122630,KODEX 레버리지,89690,270102,242,4.962,0,61841
09:00:12,367760,RISE 네트워크인프라,34805,54346,18,3.1871,0,2036
09:00:12,000390,삼화페인트,11410,136135,15,3.7273,0,3109
09:00:12,006340,대원전선,5930,151934,9,4.5855,3,4634
09:00:12,234340,헥토파이낸셜,39600,21641,8,4.2105,0,5539
09:00:12,306620,지아이에스,3550,225832,8,8.2317,0,1634
09:00:12,760013,키움 레버리지 반도체,106535,7194,7,5.4071,0,0
09:00:12,130660,한전산업,21250,26236,5,3.6585,3,6944
09:00:12,108490,로보티즈,263000,2027,5,4.3651,0,38463
09:00:12,078600,대주전자재료,119500,4390,5,5.4722,-1,18530
09:00:12,233160,TIGER 코스닥150 레버,19235,21227,4,4.0573,0,2983
09:00:12,039030,이오테크닉스,408500,942,3,3.5488,0,50510
09:00:12,032500,케이엠더블유,30400,11724,3,5.7391,-1,12532
09:00:12,078160,메디포스트,24500,13671,3,10.3604,-3,9527
09:00:12,282880,코윈테크,15720,19159,3,6.0013,0,1827
09:05:01,122630,KODEX 레버리지,90390,1272195,1149,5.7812,0,62296
09:05:01,032820,우리기술,25450,2546168,647,5.6017,198,43032
09:05:01,035510,신세계 I&C,25400,2155313,547,12.3894,-1,3579
09:05:01,047040,대우건설,12950,2511767,325,6.9364,74,53906
09:05:01,403870,HPSP,46850,452067,211,6.3564,85,38558
09:05:01,090710,휴림로봇,13920,1497139,208,3.5714,-38,16652
09:05:01,353200,대덕전자,71200,289544,206,5.9524,50,35284
09:05:01,007660,이수페타시스,121300,159046,192,6.1242,48,88972
09:05:01,494310,KODEX 반도체레버리지,71975,254748,183,4.729,0,12279
09:05:01,088350,한화생명,5230,3288831,172,9.1858,31,45511
09:05:01,488080,TIGER 반도체TOP10레,44905,355838,159,5.1639,0,13965
09:05:01,001820,삼화콘덴서,64300,221059,142,19.295,5,6726
09:05:01,000390,삼화페인트,11620,1170330,135,5.6364,31,3150
09:05:01,306620,지아이에스,3720,3061710,113,13.4146,-10,1684
09:05:01,028260,삼성물산,292500,32434,94,4.6512,42,496332
09:05:01,006340,대원전선,6020,1341319,80,6.1728,13,4736
09:05:01,393890,더블유씨피,13200,603027,79,5.4313,-11,4471
09:05:01,130660,한전산업,22750,329314,74,10.9756,25,7417
09:05:01,010120,LS ELECTRIC,792000,9008,71,3.937,24,237000
09:05:01,267260,HD현대일렉트릭,961000,6392,61,3.2223,11,346052
09:05:01,000150,두산,1162000,5134,59,4.6847,13,187687
09:05:01,376900,로킷헬스케어,113900,52822,60,15.0505,1,17580
09:05:01,032830,삼성생명,233500,24112,56,7.6037,29,469000
09:05:01,131970,두산테스나,86700,62813,54,4.8368,-9,16679
09:05:01,0091P0,TIGER 코리아원자력,21630,250040,54,3.4186,0,6567
09:05:01,046120,오르비텍,9840,543674,53,4.5696,11,3217
