Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M)
09:00:18,032820,우리기술,25250,748695,189,3.272,0
09:00:18,003280,흥아해운,2545,2976508,75,8.9936,0
09:00:18,008350,남선알미늄,1656,2620830,43,9.9602,0
09:00:18,475150,SK이터닉스,41650,71895,29,5.845,0
09:00:18,087010,펩트론,319500,8156,26,7.2148,0
09:00:18,052690,한전기술,183700,7252,13,3.3765,0
09:00:18,039980,폴라리스AI,2110,587482,12,3.1785,0
09:00:18,458870,씨어스테크놀로지,166000,4371,7,3.3624,0
09:00:18,082920,비츠로셀,27650,18985,5,5.9387,0
09:30:11,032820,우리기술,25800,12490135,3222,5.5215,-463
09:30:11,006910,보성파워텍,12620,10752592,1356,8.6059,6
09:30:11,008350,남선알미늄,1695,36043995,610,12.5498,-6
09:30:11,010170,대한광통신,7760,6253310,485,4.8649,0
09:30:11,087010,펩트론,323000,126742,409,8.3893,0
09:30:11,321370,센서뷰,4200,9524821,400,14.7541,0
09:30:11,005860,한일사료,4805,6503011,312,12.1354,0
09:30:11,025860,남해화학,9420,1949158,183,5.2514,0
09:30:11,001040,CJ,198300,87648,173,12.415,0
10:00:05,032820,우리기술,25950,16887346,4382,6.135,-396
10:00:05,006910,보성파워텍,12970,27124504,3518,11.6179,-54
10:00:05,003280,흥아해운,2905,106650859,3098,24.4111,-6
10:00:05,047810,한국항공우주,195100,591723,1154,6.7871,4
10:00:05,008350,남선알미늄,1776,60980055,1083,17.9283,-4
10:00:05,097230,HJ중공업,28200,3265392,920,4.8327,55
10:00:05,321370,센서뷰,4405,17102304,753,20.3552,18
10:00:05,087010,펩트론,327000,186151,608,9.7315,112
10:00:05,006260,LS,282000,193576,545,12.8,-182
10:00:05,005860,한일사료,4600,9697977,446,7.3512,0
10:00:05,174900,앱클론,94000,410113,385,5.4994,0
10:00:05,001040,CJ,197700,153032,302,12.0748,0
10:00:05,095340,ISC,207500,131499,272,11.9202,0
10:00:05,047050,포스코인터내셔널,76700,336397,258,4.0706,0
10:30:06,006910,보성파워텍,12440,31737750,3948,7.0568,-32
10:30:06,047810,한국항공우주,194000,718359,1393,6.185,39
10:30:06,008350,남선알미늄,1751,80153230,1403,16.2683,-15
10:30:06,321370,센서뷰,4545,26883136,1221,24.1803,17
10:30:06,087010,펩트론,319000,210632,671,7.047,121
10:30:06,027360,아주IB투자,6700,10650365,713,12.7946,-2
10:30:06,005860,한일사료,4650,11145959,518,8.5181,6
10:30:06,174900,앱클론,91900,505062,464,3.1425,0
10:30:06,001040,CJ,194100,204183,396,10.034,0
11:00:05,032820,우리기술,25300,24865660,6291,3.4765,-720
11:00:05,006910,보성파워텍,12420,34271939,4256,6.8847,-59
11:00:05,008350,남선알미늄,1815,103032464,1870,20.5179,-20
11:00:05,047810,한국항공우주,194600,798226,1553,6.5134,55
11:00:05,321370,센서뷰,4595,29396956,1350,25.5464,30
11:00:05,027360,아주IB투자,6490,16086115,1043,9.2593,8
11:00:05,005860,한일사료,4690,18045553,846,9.4516,-13
11:00:05,087010,펩트론,318500,231236,736,6.8792,119
11:00:05,006260,LS,273000,246943,674,9.2,-212
11:00:05,174900,앱클론,92900,548702,509,4.2649,-54
11:00:05,001040,CJ,195100,218873,427,10.6009,0
11:30:10,006910,보성파워텍,12160,35752955,4347,4.6472,-69
11:30:10,008350,남선알미늄,1743,111911043,1950,15.7371,-14
11:30:10,047810,한국항공우주,190800,863359,1647,4.4335,49
11:30:10,321370,센서뷰,4485,31107261,1395,22.541,36
11:30:10,027360,아주IB투자,6330,17201420,1088,6.5657,17
11:30:10,005860,한일사료,4705,19373061,911,9.8016,-15
11:30:10,261220,KODEX WTI원유선물(H),23530,2580128,607,3.4968,0
11:30:10,174900,앱클론,91900,605524,556,3.1425,-66
12:00:08,006910,보성파워텍,12360,36865469,4556,6.3683,-96
12:00:08,003280,흥아해운,2945,160188264,4717,26.1242,62
12:00:08,008350,남선알미늄,1721,116804994,2010,14.2762,-23
12:00:08,047810,한국항공우주,190100,916966,1743,4.0504,41
12:00:08,321370,센서뷰,4460,31848517,1420,21.8579,34
12:00:08,027360,아주IB투자,6430,17723932,1139,8.2492,16
12:00:08,005860,한일사료,4595,20148962,925,7.2345,-16
