Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M)
12:00:08,087010,펩트론,319000,265951,848,7.047,95
12:00:08,261220,KODEX WTI원유선물(H),23485,3142042,737,3.2989,0
12:30:09,003280,흥아해운,2930,167120870,4896,25.4818,68
12:30:09,006910,보성파워텍,12230,37628790,4602,5.2496,-107
12:30:09,008350,남선알미늄,1699,120968531,2055,12.8154,-24
12:30:09,047810,한국항공우주,191500,950037,1819,4.8166,38
12:30:09,321370,센서뷰,4275,33831835,1446,16.8033,42
12:30:09,027360,아주IB투자,6350,18726163,1189,6.9024,11
12:30:09,005860,한일사료,4545,20717339,941,6.0677,-15
12:30:09,087010,펩트론,325000,278797,906,9.0604,101
12:30:09,261220,KODEX WTI원유선물(H),23470,3406828,799,3.2329,0
13:00:17,003280,흥아해운,2890,174528833,5043,23.7687,81
13:00:17,006910,보성파워텍,12230,38120795,4662,5.2496,-114
13:00:17,008350,남선알미늄,1678,124464251,2088,11.421,-17
13:00:17,047810,한국항공우주,192600,992335,1911,5.4187,46
13:00:17,321370,센서뷰,4390,35036996,1538,19.9454,42
13:00:17,027360,아주IB투자,6240,19324472,1205,5.0505,11
13:00:17,005860,한일사료,4535,21401569,970,5.8343,-8
13:00:17,087010,펩트론,321500,286876,922,7.8859,95
13:00:17,261220,KODEX WTI원유선물(H),23535,3645827,858,3.5188,0
13:30:06,003280,흥아해운,2915,178376140,5199,24.8394,63
13:30:06,006910,보성파워텍,12110,38696711,4686,4.2169,-121
13:30:06,008350,남선알미늄,1696,127067657,2155,12.6162,-23
13:30:06,047810,한국항공우주,191900,1027115,1971,5.0356,47
13:30:06,321370,센서뷰,4360,35748554,1558,19.1257,40
13:30:06,027360,아주IB투자,6200,19834605,1229,4.3771,9
13:30:06,005860,한일사료,4550,21669748,985,6.1844,-7
13:30:06,087010,펩트론,316500,296358,937,6.2081,97
13:30:06,261220,KODEX WTI원유선물(H),23580,3797226,895,3.7167,0
13:30:06,174900,앱클론,91800,723308,663,3.0303,-101
13:30:06,095340,ISC,214000,316323,676,15.4261,-3
13:30:06,085620,미래에셋생명,16660,3953649,658,26.2121,-30
14:00:11,006910,보성파워텍,12050,39710235,4785,3.7005,-113
14:00:11,008350,남선알미늄,1692,128678678,2177,12.3506,-24
14:00:11,047810,한국항공우주,191200,1062099,2030,4.6524,47
14:00:11,321370,센서뷰,4485,37548972,1684,22.541,26
14:00:11,027360,아주IB투자,6170,20127153,1241,3.8721,9
14:00:11,005860,한일사료,4570,22003920,1005,6.6511,-6
14:00:11,261220,KODEX WTI원유선물(H),23615,3966621,936,3.8707,0
14:00:11,095340,ISC,218500,437307,955,17.8533,0
14:30:06,003280,흥아해운,2970,200423394,5952,27.1949,11
14:30:06,006910,보성파워텍,12170,40090272,4878,4.7332,-96
14:30:06,008350,남선알미늄,1749,133910489,2342,16.1355,-23
14:30:06,047810,한국항공우주,192200,1095430,2105,5.1998,43
14:30:06,321370,센서뷰,4540,39284942,1783,24.0437,25
14:30:06,027360,아주IB투자,6220,20368045,1266,4.7138,8
14:30:06,005860,한일사료,4560,22273880,1015,6.4177,-5
14:30:06,095340,ISC,219500,482286,1058,18.3927,1
14:30:06,261220,KODEX WTI원유선물(H),23630,4111709,971,3.9367,0
15:00:12,006910,보성파워텍,12070,40645198,4905,3.8726,-83
15:00:12,008350,남선알미늄,1710,137364769,2348,13.5458,-24
15:00:12,047810,한국항공우주,191600,1136981,2178,4.8714,33
15:00:12,321370,센서뷰,4545,41110539,1868,24.1803,22
15:00:12,027360,아주IB투자,6320,20719714,1309,6.3973,8
15:00:12,095340,ISC,217000,522741,1134,17.0442,26
15:00:12,005860,한일사료,4550,22568518,1026,6.1844,-4
