Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M),Market_Cap(100M)
09:00:04,003280,흥아해운,3290,1365541,44,8.58,0,7910
09:00:04,046970,우리로,2960,783197,23,8.3,0,1286
09:00:04,106190,하이텍팜,22100,18517,4,14.27,0,2350
09:00:06,003280,흥아해운,3290,1432399,47,8.42,0,7898
09:00:06,106190,하이텍팜,22100,18517,4,14.27,0,2350
09:05:01,252670,KODEX 200선물인버스2,272,268217906,729,9.24,0,14996
09:05:01,003280,흥아해운,3580,19884512,711,18.48,-36,8631
09:05:01,100090,SK오션플랜트,30050,846151,254,17.61,-17,18775
09:05:01,322000,HD현대에너지솔루션,136900,180195,246,4.5,-20,15333
09:05:01,000250,삼천당제약,939000,26554,249,3.86,-125,220969
09:05:01,024060,흥구석유,21600,1159005,250,10.03,1,3225
09:05:01,114800,KODEX 인버스,1680,13805235,231,4.6,0,10636
09:05:01,117580,대성에너지,12430,1217444,151,12.12,15,3435
09:05:01,046970,우리로,3270,4459872,145,20.66,4,1433
09:05:01,004960,한신공영,18670,473537,88,5.92,-17,2173
09:05:01,330860,네패스아크,26800,316295,84,7.6,6,3278
09:05:01,004090,한국석유,18770,350815,65,7.53,22,2392
09:05:01,090460,비에이치,23250,267873,62,4.51,5,7804
09:10:01,252670,KODEX 200선물인버스2,274,489975655,1342,10.04,0,15106
09:10:01,003280,흥아해운,3695,31774636,1174,21.78,-39,8872
09:10:01,114800,KODEX 인버스,1689,30643173,517,5.1,0,10686
09:10:01,000250,삼천당제약,952000,52814,502,5.07,-201,223550
09:10:01,024060,흥구석유,22050,2023511,446,12.85,7,3308
09:10:01,322000,HD현대에너지솔루션,137000,269732,369,4.27,3,15299
09:10:01,117580,대성에너지,13070,2673821,349,17.5,26,3600
09:10:01,069540,빛과전자,2720,10362510,281,23.97,-3,2637
09:10:01,005880,대한해운,2455,8205963,201,3.83,-37,7875
09:10:01,251340,KODEX 코스닥150선물,2095,8920247,186,3.97,0,2110
09:10:01,217590,티엠씨,26300,669986,176,11.44,-16,6337
09:10:01,038110,에코플라스틱,3550,3497274,124,17.61,7,1457
09:10:01,004090,한국석유,19040,640617,121,8.39,30,2411
09:10:01,330860,네패스아크,26800,447117,119,8.0,7,3290
09:10:01,053050,지에스이,3425,3227728,110,10.7,4,1024
09:10:01,003230,삼양식품,1190000,9035,107,3.39,21,89643
09:15:00,252670,KODEX 200선물인버스2,273,656168818,1791,9.64,0,15051
09:15:00,003280,흥아해운,3640,39769703,1447,19.8,-55,8727
09:15:00,000250,삼천당제약,959000,83147,797,5.84,-268,225192
09:15:00,114800,KODEX 인버스,1687,41870429,706,4.92,0,10667
09:15:00,024060,흥구석유,22300,3135107,699,14.38,-13,3353
09:15:00,117580,대성에너지,12880,3523538,453,15.53,18,3539
09:15:00,217590,티엠씨,27400,960393,263,17.8,-32,6698
09:15:00,251340,KODEX 코스닥150선물,2095,10489607,219,3.72,0,2105
09:15:00,038110,에코플라스틱,3790,5946782,225,26.25,8,1564
09:15:00,004090,한국석유,18940,948118,179,8.33,31,2409
09:15:00,330860,네패스아크,27000,630169,170,7.6,0,3278
09:15:00,053050,지에스이,3375,4427980,149,9.24,-3,1011
09:20:03,252670,KODEX 200선물인버스2,272,770750942,2096,9.24,0,14996
09:20:03,003280,흥아해운,3675,47425021,1742,21.45,-66,8848
09:20:03,001510,SK증권,2775,48473366,1345,7.16,-164,13091
09:20:03,024060,흥구석유,22050,3719576,820,12.85,-14,3308
09:20:03,114800,KODEX 인버스,1682,47258198,794,4.73,0,10648
09:20:03,036930,주성엔지니어링,75800,981193,743,4.12,-127,35233
09:20:03,322000,HD현대에너지솔루션,138900,376032,522,6.26,38,15590
09:20:03,117580,대성에너지,13000,3829238,497,16.7,16,3575
09:20:03,038110,에코플라스틱,3795,11587359,439,25.75,-5,1558
09:20:03,217590,티엠씨,28750,1433918,412,21.61,-40,6915
09:20:03,005880,대한해운,2430,13198117,320,3.62,-50,7859
09:20:03,251340,KODEX 코스닥150선물,2090,11514144,240,3.72,0,2105
09:20:03,004090,한국석유,19210,1184404,227,9.53,39,2436
09:20:03,330860,네패스아크,27250,762709,207,9.4,-1,3332
09:20:03,053050,지에스이,3365,5825532,196,9.08,6,1009
09:20:03,092220,KEC,1683,10904795,183,19.83,15,3385
09:25:02,252670,KODEX 200선물인버스2,274,835534375,2289,10.04,0,15106
09:25:02,003280,흥아해운,3655,53817093,1967,20.63,-52,8788
09:25:02,000250,삼천당제약,942000,109767,1034,3.86,-289,220969
09:25:02,114800,KODEX 인버스,1686,55281173,932,4.98,0,10674
09:25:02,024060,흥구석유,22200,4172076,926,13.61,-2,3330
09:25:02,322000,HD현대에너지솔루션,140100,647946,907,6.87,85,15680
09:25:02,036930,주성엔지니어링,75900,1185118,899,3.71,-150,35093
09:25:02,117580,대성에너지,12860,4157628,534,15.26,21,3531
09:25:02,038110,에코플라스틱,3675,13366091,491,21.59,-4,1507
09:25:02,217590,티엠씨,27350,1704081,466,15.78,-45,6584
09:25:02,251340,KODEX 코스닥150선물,2090,12731563,266,3.72,0,2105
09:25:02,004090,한국석유,19250,1371878,264,9.87,47,2444
09:25:02,330860,네패스아크,27900,828710,231,11.2,-5,3387
09:25:02,092220,KEC,1678,13717905,230,18.76,8,3355
09:25:02,053050,지에스이,3335,6454941,215,8.1,4,1000
09:30:02,252670,KODEX 200선물인버스2,275,963278220,2649,10.44,0,15161
09:30:02,003280,흥아해운,3610,57244150,2066,18.98,-66,8667
09:30:02,000250,삼천당제약,942000,115325,1086,3.86,-296,220969
09:30:02,114800,KODEX 인버스,1691,62071849,1049,5.29,0,10705
09:30:02,322000,HD현대에너지솔루션,139200,742855,1034,6.34,44,15602
09:30:02,024060,흥구석유,22150,4449711,985,13.61,-5,3330
09:30:02,010170,대한광통신,7990,8303459,663,7.26,-15,12408
09:30:02,038110,에코플라스틱,3840,15510470,595,27.41,3,1579
09:30:02,117580,대성에너지,12800,4317160,552,14.9,22,3520
09:30:02,217590,티엠씨,28050,1866542,523,18.64,-51,6746
09:30:02,004090,한국석유,19010,1484620,282,8.45,43,2412
09:30:02,251340,KODEX 코스닥150선물,2100,13289986,279,4.22,0,2115
09:30:02,092220,KEC,1635,15995170,261,16.2,9,3282
09:30:02,330860,네패스아크,27800,895764,249,10.8,-16,3375
09:35:02,252670,KODEX 200선물인버스2,277,1054121829,2919,11.24,0,15272
09:35:02,003280,흥아해운,3620,59792066,2164,19.47,-73,8703
