Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M),Market_Cap(100M)
09:00:20,115440,우리넷,13810,401201,55,7.85,0,1498
09:00:20,298380,에이비엘바이오,182400,13318,24,5.92,3,102177
09:00:20,264450,유비쿼스,17500,124959,21,7.6,0,2596
09:00:20,069540,빛과전자,3170,402890,12,5.96,0,3123
09:00:20,004440,삼일씨엔에스,9440,126734,11,6.68,0,1220
09:00:20,007570,일양약품,16050,67136,10,9.93,0,3063
09:00:20,474170,루미르,17160,57120,9,3.43,0,3065
09:00:20,307750,국전약품,5220,186655,9,4.55,0,2633
09:05:01,100790,미래에셋벤처투자,29250,3058171,894,8.7,-51,15592
09:05:01,252670,KODEX 200선물인버스2,268,214165337,573,4.28,0,12850
09:05:01,115440,우리넷,15930,2664124,424,23.47,-10,1715
09:05:01,322000,HD현대에너지솔루션,135000,177948,240,6.78,68,15165
09:05:01,017900,광전자,4100,4649316,190,19.73,-1,2355
09:05:01,298380,에이비엘바이오,181600,82236,149,5.17,-14,101449
09:05:01,069540,빛과전자,3155,4252067,134,4.47,-8,3080
09:05:01,038110,에코플라스틱,3900,3347767,130,12.16,6,1614
09:05:01,062040,산일전기,174900,63870,111,5.37,36,53362
09:05:01,264450,유비쿼스,17660,581872,102,8.27,-17,2612
09:05:01,0004V0,엔비알모션,19910,370890,73,17.72,5,2081
09:05:01,051980,중앙첨단소재,1931,3774154,72,14.88,-11,2170
09:05:01,274090,켄코아에어로스페이스,25450,244657,62,3.09,-18,3434
09:10:03,252670,KODEX 200선물인버스2,266,336833055,895,3.5,0,12754
09:10:03,115440,우리넷,14870,3849716,572,15.46,-15,1604
09:10:03,322000,HD현대에너지솔루션,138900,371348,515,9.46,68,15546
09:10:03,017900,광전자,3695,7947871,293,8.84,-12,2141
09:10:03,298380,에이비엘바이오,184500,169637,312,7.25,9,103465
09:10:03,038110,에코플라스틱,3980,7390211,294,15.16,-2,1657
09:10:03,062040,산일전기,175500,142760,250,5.73,72,53546
09:10:03,051980,중앙첨단소재,1937,7542223,146,13.41,-27,2142
09:10:03,264450,유비쿼스,17380,755658,131,5.71,-24,2550
09:10:03,138080,오이솔루션,43200,292964,126,3.37,-3,5257
09:10:03,462900,KoAct 바이오헬스케어,24900,368288,91,3.28,0,6464
09:15:01,252670,KODEX 200선물인버스2,267,403961446,1078,3.89,0,12802
09:15:01,115440,우리넷,14780,4563711,674,14.84,-17,1595
09:15:01,322000,HD현대에너지솔루션,135300,499111,675,6.62,37,15142
09:15:01,079550,LIG넥스원,762000,81478,620,3.68,-50,167420
09:15:01,000250,삼천당제약,1166000,52996,617,4.3,-146,272810
09:15:01,038110,에코플라스틱,4315,14818305,639,23.52,-4,1777
09:15:01,017900,광전자,3840,10124648,388,12.96,-9,2222
09:15:01,298380,에이비엘바이오,184800,195920,362,7.25,9,103465
09:15:01,062040,산일전기,174900,176862,309,5.55,79,53454
09:15:01,003280,흥아해운,3495,8315804,290,4.32,-4,8415
09:15:01,950160,코오롱티슈진,109600,222006,243,7.62,0,91665
09:15:01,042660,한화오션,129400,185453,239,3.69,-63,396193
09:15:01,051980,중앙첨단소재,1903,9138104,173,12.0,-34,2115
09:15:01,264450,유비쿼스,17510,839969,147,6.14,-28,2561
09:15:01,014970,삼륭물산,11270,1312717,147,13.31,-6,1686
09:15:01,462900,KoAct 바이오헬스케어,25060,537699,134,3.8,0,6497
09:15:01,226950,올릭스,199200,64098,127,6.02,18,40378
09:15:01,178920,PI첨단소재,27100,460041,124,22.15,-22,8017
09:15:01,215600,신라젠,4405,2718944,119,11.53,0,6078
09:20:01,252670,KODEX 200선물인버스2,265,537813671,1425,3.11,0,12706
09:20:01,115440,우리넷,14160,5195217,735,10.18,-10,1531
09:20:01,322000,HD현대에너지솔루션,138400,555191,768,9.15,64,15501
09:20:01,038110,에코플라스틱,4315,17997290,776,24.03,-4,1785
09:20:01,000250,삼천당제약,1167000,59848,698,4.75,-150,273983
09:20:01,017900,광전자,3700,11524593,426,9.43,-9,2153
09:20:01,950160,코오롱티슈진,113200,391613,443,10.56,0,94163
09:20:01,298380,에이비엘바이오,184500,226603,418,7.14,26,103353
09:20:01,062040,산일전기,174200,192825,335,5.07,80,53210
09:20:01,042660,한화오션,129400,237042,306,3.93,-63,397112
09:20:01,014970,삼륭물산,11270,2491437,280,15.96,-8,1726
09:20:01,051980,중앙첨단소재,1926,10359250,199,13.0,-37,2134
